ID|Mosha|Udhetime_biznesore|Departamenti|Distanca_nga_shtepija|Fusha_edukimit|Ambientimi_punetorit|Gjinia|Involvimi_ne_detyra_pergjegjesi|Niveli_punes|Roli|Satisfaksioni_punedhenesit|Statusi_martesor|Ardhurat_mujore|Numri_kompanive_qe_kapunuar|OverTime|Ngritja_rroges_perqindje|Vite_pervoje_pune|Numri_trajnimeve_vitin_kaluar|Bilanci_pune_jete|Vitet_me_kompanine|Vitet_ne_rolin_aktual|Vitet_qe_nga_ngritja_pozites|Vitet_me_menagjerin_aktual|Largimi
20|38|Travel_Rarely|Research & Development|2|Life Sciences|4|Male|3|1|Research Scientist|4|Single|3944|5|Yes|11|6|3|3|3|2|1|2|No
21|24|Non-Travel|Research & Development|11|Other|1|Female|4|2|Manufacturing Director|3|Divorced|4011|0|No|18|5|5|2|4|2|1|3|No
22|36|Travel_Rarely|Sales|9|Life Sciences|3|Male|2|1|Sales Representative|1|Single|3407|7|No|23|10|4|3|5|3|0|3|Yes
23|34|Travel_Rarely|Research & Development|7|Life Sciences|1|Female|3|3|Research Director|2|Single|11994|0|No|11|13|4|3|12|6|2|11|No
24|21|Travel_Rarely|Research & Development|15|Life Sciences|3|Male|3|1|Research Scientist|4|Single|1232|1|No|14|0|6|3|0|0|0|0|No
25|34|Travel_Rarely|Research & Development|6|Medical|2|Male|3|1|Research Scientist|1|Single|2960|2|No|11|8|2|3|4|2|1|3|Yes
26|53|Travel_Rarely|Research & Development|5|Other|3|Female|3|5|Manager|3|Divorced|19094|4|No|11|26|3|2|14|13|4|8|No
27|32|Travel_Frequently|Research & Development|16|Life Sciences|2|Female|1|1|Research Scientist|1|Single|3919|1|Yes|22|10|5|3|10|2|6|7|Yes
28|42|Travel_Rarely|Sales|8|Marketing|3|Male|3|2|Sales Executive|2|Married|6825|0|No|11|10|2|3|9|7|4|2|No
29|44|Travel_Rarely|Research & Development|7|Medical|1|Female|2|3|Healthcare Representative|4|Married|10248|3|No|14|24|4|3|22|6|5|17|No
30|46|Travel_Rarely|Sales|2|Marketing|2|Female|3|5|Manager|1|Single|18947|3|No|12|22|2|2|2|2|2|1|No
31|33|Travel_Rarely|Research & Development|2|Medical|3|Male|3|1|Laboratory Technician|4|Single|2496|4|No|11|7|3|3|1|1|0|0|No
32|44|Travel_Rarely|Research & Development|10|Other|4|Male|3|2|Healthcare Representative|4|Married|6465|2|Yes|13|9|5|4|4|2|1|3|No
33|30|Travel_Rarely|Research & Development|9|Medical|4|Male|2|1|Laboratory Technician|3|Single|2206|1|No|13|10|5|3|10|0|1|8|No
34|39|Travel_Rarely|Sales|5|Technical Degree|4|Male|3|2|Sales Representative|4|Married|2086|3|No|14|19|6|4|1|0|0|0|Yes
35|24|Travel_Rarely|Research & Development|1|Medical|2|Male|3|1|Research Scientist|4|Married|2293|2|Yes|16|6|2|2|2|0|2|0|Yes
36|43|Travel_Rarely|Research & Development|2|Medical|4|Female|4|1|Research Scientist|3|Divorced|2645|1|No|12|6|3|2|5|3|1|4|No
37|50|Travel_Rarely|Sales|3|Marketing|1|Male|2|1|Sales Representative|3|Married|2683|1|Yes|14|3|2|3|3|2|0|2|Yes
38|35|Travel_Rarely|Sales|2|Marketing|4|Female|3|1|Sales Representative|4|Married|2014|1|No|13|2|3|3|2|2|2|2|No
39|36|Travel_Rarely|Research & Development|5|Life Sciences|2|Female|2|1|Research Scientist|1|Married|3419|9|Yes|14|6|3|4|1|1|0|0|No
40|33|Travel_Frequently|Sales|1|Life Sciences|3|Female|4|2|Sales Executive|1|Married|5376|2|No|19|10|3|3|5|3|1|3|No
41|35|Travel_Rarely|Research & Development|4|Other|3|Male|3|1|Laboratory Technician|4|Divorced|1951|1|No|12|1|3|3|1|0|0|0|No
42|27|Travel_Rarely|Research & Development|2|Life Sciences|4|Female|3|1|Laboratory Technician|1|Divorced|2341|1|No|13|1|6|3|1|0|0|0|No
43|26|Travel_Rarely|Research & Development|25|Life Sciences|1|Male|1|1|Laboratory Technician|3|Single|2293|1|No|12|1|2|2|1|0|0|1|Yes
44|27|Travel_Frequently|Sales|8|Life Sciences|4|Male|3|3|Sales Executive|3|Single|8726|1|No|15|9|0|3|9|8|1|7|No
45|30|Travel_Frequently|Research & Development|1|Medical|3|Female|3|2|Laboratory Technician|4|Single|4011|1|No|23|12|2|3|12|8|3|7|No
46|41|Travel_Rarely|Research & Development|12|Technical Degree|2|Female|3|5|Research Director|3|Married|19545|1|No|12|23|0|3|22|15|15|8|Yes
47|34|Non-Travel|Sales|23|Marketing|2|Male|3|2|Sales Executive|3|Single|4568|0|No|20|10|2|3|9|5|8|7|No
48|37|Travel_Rarely|Research & Development|19|Life Sciences|2|Male|3|1|Research Scientist|2|Married|3022|4|No|21|8|1|3|1|0|0|0|No
49|46|Travel_Frequently|Sales|5|Marketing|1|Male|3|2|Sales Executive|4|Single|5772|4|Yes|21|14|4|3|9|6|0|8|No
50|35|Travel_Rarely|Research & Development|8|Life Sciences|4|Male|4|1|Laboratory Technician|4|Married|2269|1|No|19|1|2|3|1|0|0|1|No
51|48|Travel_Rarely|Research & Development|1|Life Sciences|1|Male|2|3|Laboratory Technician|3|Single|5381|9|Yes|13|23|2|3|1|0|0|0|Yes
52|28|Travel_Rarely|Research & Development|5|Technical Degree|3|Male|3|1|Laboratory Technician|3|Single|3441|1|Yes|13|2|3|2|2|2|2|2|Yes
53|44|Travel_Rarely|Sales|1|Marketing|2|Female|3|2|Sales Executive|1|Divorced|5454|5|Yes|21|9|2|2|4|3|1|3|No
54|35|Non-Travel|Research & Development|11|Medical|3|Male|2|3|Healthcare Representative|1|Married|9884|2|Yes|13|10|3|3|4|0|2|3|No
55|26|Travel_Rarely|Sales|23|Marketing|3|Female|2|2|Sales Executive|4|Married|4157|7|Yes|19|5|2|2|2|2|0|0|No
56|33|Travel_Frequently|Research & Development|1|Life Sciences|1|Female|3|3|Research Director|4|Single|13458|1|Yes|12|15|1|3|15|14|8|12|No
57|35|Travel_Frequently|Sales|18|Life Sciences|2|Male|3|3|Sales Executive|1|Married|9069|1|No|22|9|3|2|9|8|1|8|No
58|35|Travel_Rarely|Research & Development|23|Medical|3|Female|3|1|Laboratory Technician|1|Married|4014|3|Yes|15|4|3|3|2|2|2|2|No
59|31|Travel_Rarely|Research & Development|7|Life Sciences|4|Male|3|2|Laboratory Technician|4|Divorced|5915|3|No|22|10|3|2|7|7|1|7|No
60|37|Travel_Rarely|Research & Development|1|Life Sciences|1|Male|2|2|Manufacturing Director|3|Divorced|5993|1|No|18|7|2|4|7|5|0|7|No
61|32|Travel_Rarely|Research & Development|1|Medical|1|Male|3|2|Manufacturing Director|4|Married|6162|1|Yes|22|9|3|3|9|8|7|8|No
62|38|Travel_Frequently|Research & Development|29|Life Sciences|4|Female|3|2|Laboratory Technician|4|Single|2406|1|No|11|10|2|3|10|3|9|9|No
63|50|Travel_Rarely|Research & Development|7|Medical|2|Female|2|5|Research Director|3|Divorced|18740|5|Yes|12|29|2|2|27|3|13|8|No
64|59|Travel_Rarely|Sales|25|Life Sciences|1|Female|3|3|Sales Executive|1|Single|7637|7|No|11|28|3|2|21|16|7|9|No
65|36|Travel_Rarely|Research & Development|8|Technical Degree|3|Female|3|3|Healthcare Representative|3|Divorced|10096|1|No|13|17|2|3|17|14|12|8|No
66|55|Travel_Rarely|Research & Development|8|Medical|4|Female|3|4|Manager|3|Divorced|14756|2|Yes|14|21|2|3|5|0|0|2|No
67|36|Travel_Frequently|Research & Development|11|Life Sciences|2|Male|2|2|Manufacturing Director|2|Single|6499|1|No|13|6|3|3|6|5|0|3|No
68|45|Travel_Rarely|Research & Development|7|Life Sciences|2|Male|3|3|Research Scientist|1|Divorced|9724|2|No|17|25|2|3|1|0|0|0|No
69|35|Travel_Frequently|Research & Development|1|Medical|2|Male|3|1|Research Scientist|1|Married|2194|4|No|13|5|2|2|3|2|1|2|No
70|36|Travel_Rarely|Research & Development|9|Medical|4|Male|2|1|Research Scientist|3|Married|3388|0|Yes|17|2|0|2|1|0|0|0|Yes
71|59|Travel_Frequently|Sales|1|Life Sciences|1|Female|2|2|Sales Executive|3|Single|5473|7|No|11|20|2|2|4|3|1|3|No
72|29|Travel_Rarely|Research & Development|2|Life Sciences|3|Male|3|1|Research Scientist|2|Married|2703|0|No|23|6|3|3|5|4|0|4|No
73|31|Travel_Rarely|Research & Development|1|Medical|3|Male|3|1|Research Scientist|2|Single|2501|1|No|17|1|4|3|1|1|1|0|No
74|32|Travel_Rarely|Research & Development|1|Life Sciences|2|Male|3|2|Research Scientist|2|Married|6220|1|No|17|10|3|3|10|4|0|9|No
75|36|Travel_Rarely|Research & Development|6|Life Sciences|2|Female|4|1|Laboratory Technician|4|Married|3038|3|No|12|5|3|3|1|0|0|0|No
76|31|Travel_Rarely|Research & Development|8|Life Sciences|3|Female|3|2|Manufacturing Director|4|Single|4424|1|No|23|11|2|3|11|7|1|8|No
77|35|Travel_Rarely|Sales|1|Marketing|3|Male|2|2|Sales Executive|1|Single|4312|0|No|14|16|2|3|15|13|2|8|No
78|45|Travel_Rarely|Research & Development|6|Other|4|Male|3|3|Research Director|1|Married|13245|4|Yes|14|17|3|4|0|0|0|0|No
79|37|Travel_Rarely|Research & Development|7|Medical|1|Male|3|3|Research Director|3|Single|13664|4|No|13|16|3|4|5|2|0|2|No
80|46|Travel_Rarely|Human Resources|5|Medical|2|Male|3|2|Human Resources|2|Divorced|5021|8|Yes|22|16|2|3|4|2|0|2|No
81|30|Travel_Rarely|Research & Development|1|Life Sciences|4|Male|2|2|Laboratory Technician|4|Married|5126|1|Yes|12|10|1|2|10|8|3|0|No
82|35|Travel_Rarely|Research & Development|1|Medical|2|Male|2|1|Research Scientist|3|Single|2859|1|No|18|6|3|3|6|4|0|4|No
83|55|Travel_Rarely|Sales|1|Life Sciences|1|Male|3|3|Sales Executive|4|Married|10239|3|No|14|24|4|3|1|0|1|0|No
84|38|Non-Travel|Research & Development|6|Medical|2|Female|1|2|Research Scientist|4|Divorced|5329|7|Yes|12|17|3|3|13|11|1|9|No
85|34|Travel_Rarely|Research & Development|1|Medical|1|Male|3|2|Manufacturing Director|2|Married|4325|1|No|15|5|2|3|5|2|1|3|No
86|56|Travel_Rarely|Research & Development|7|Life Sciences|4|Male|1|3|Manufacturing Director|4|Single|7260|4|No|11|37|3|2|6|4|0|2|No
87|23|Travel_Rarely|Sales|2|Technical Degree|3|Male|3|1|Sales Representative|1|Divorced|2322|3|No|13|3|3|3|0|0|0|0|No
88|51|Travel_Rarely|Research & Development|9|Life Sciences|4|Male|3|1|Laboratory Technician|4|Married|2075|3|No|23|10|4|3|4|2|0|3|No
89|30|Travel_Rarely|Research & Development|2|Life Sciences|3|Male|2|2|Healthcare Representative|4|Married|4152|1|No|19|11|3|3|11|10|10|8|No
90|46|Travel_Rarely|Sales|9|Medical|3|Male|2|3|Sales Executive|4|Single|9619|1|No|16|9|3|3|9|8|4|7|Yes
91|40|Travel_Frequently|Research & Development|1|Life Sciences|3|Male|2|4|Healthcare Representative|2|Married|13503|1|No|22|22|3|2|22|3|11|11|No
92|51|Travel_Rarely|Sales|21|Marketing|3|Male|3|2|Sales Executive|4|Single|5441|0|Yes|22|11|2|1|10|7|1|0|No
93|30|Travel_Rarely|Sales|4|Medical|3|Female|2|2|Sales Executive|2|Divorced|5209|1|Yes|12|11|4|2|11|8|2|7|No
94|46|Travel_Frequently|Research & Development|1|Medical|3|Male|2|3|Healthcare Representative|1|Married|10673|2|Yes|13|21|5|2|10|9|9|5|No
95|32|Travel_Rarely|Sales|6|Medical|2|Male|3|2|Sales Executive|3|Single|5010|1|No|16|12|0|3|11|8|5|7|No
96|54|Travel_Rarely|Research & Development|2|Technical Degree|1|Female|3|3|Research Director|3|Married|13549|9|No|12|16|5|1|4|3|0|3|No
97|24|Travel_Rarely|Sales|3|Other|1|Female|3|2|Sales Executive|3|Married|4999|0|No|21|4|2|2|3|2|0|2|No
98|28|Non-Travel|Sales|4|Medical|2|Male|3|2|Sales Executive|3|Married|4221|1|No|15|5|3|4|5|4|0|4|No
99|58|Travel_Rarely|Sales|10|Medical|4|Male|3|4|Sales Executive|3|Single|13872|0|No|13|38|1|2|37|10|1|8|No
100|44|Non-Travel|Research & Development|23|Medical|2|Male|3|2|Laboratory Technician|2|Married|2042|4|No|12|17|3|4|3|2|1|2|No
101|37|Travel_Rarely|Human Resources|6|Human Resources|3|Male|3|1|Human Resources|1|Divorced|2073|4|Yes|22|7|3|3|3|2|0|2|Yes
102|32|Travel_Rarely|Research & Development|1|Life Sciences|4|Male|3|1|Research Scientist|1|Single|2956|1|No|13|1|2|3|1|0|0|0|No
103|20|Travel_Frequently|Research & Development|6|Life Sciences|4|Female|2|1|Laboratory Technician|4|Single|2926|1|Yes|18|1|5|3|1|0|1|0|Yes
104|34|Travel_Rarely|Research & Development|6|Other|1|Female|3|2|Research Scientist|3|Single|4809|1|No|14|16|3|3|16|13|2|10|No
105|37|Non-Travel|Research & Development|2|Life Sciences|3|Male|2|2|Healthcare Representative|4|Divorced|5163|5|No|14|17|2|4|1|0|0|0|No
106|59|Non-Travel|Human Resources|2|Human Resources|3|Female|2|5|Manager|4|Married|18844|9|No|21|30|3|3|3|2|2|2|No
107|50|Travel_Frequently|Research & Development|1|Life Sciences|1|Female|3|5|Research Director|2|Married|18172|3|Yes|19|28|1|2|8|3|0|7|No
108|25|Travel_Rarely|Sales|5|Marketing|3|Male|2|2|Sales Executive|3|Single|5744|1|Yes|11|6|1|3|6|4|0|3|Yes
109|25|Travel_Rarely|Research & Development|7|Medical|4|Male|2|1|Research Scientist|4|Married|2889|1|No|11|2|2|3|2|2|2|1|No
110|22|Travel_Rarely|Research & Development|15|Medical|2|Female|3|1|Laboratory Technician|4|Single|2871|1|No|15|1|5|3|0|0|0|0|No
111|51|Travel_Frequently|Research & Development|1|Medical|1|Female|2|3|Healthcare Representative|1|Single|7484|3|No|20|23|1|2|13|12|12|8|No
112|34|Travel_Frequently|Research & Development|7|Life Sciences|1|Male|1|2|Laboratory Technician|3|Single|6074|1|Yes|24|9|3|3|9|7|0|6|Yes
113|54|Non-Travel|Human Resources|26|Human Resources|4|Female|4|4|Manager|4|Single|17328|2|Yes|12|23|3|3|5|3|4|4|No
114|24|Travel_Rarely|Research & Development|18|Life Sciences|2|Male|3|1|Laboratory Technician|3|Married|2774|0|No|12|6|2|3|5|3|1|2|No
115|34|Travel_Rarely|Research & Development|6|Life Sciences|3|Female|2|2|Research Scientist|2|Divorced|4505|6|No|15|12|3|3|1|0|0|0|No
116|37|Travel_Rarely|Sales|3|Life Sciences|3|Male|3|3|Sales Executive|4|Single|7428|2|No|12|12|3|3|5|3|1|3|No
117|34|Travel_Rarely|Research & Development|5|Medical|3|Female|2|3|Manager|1|Single|11631|2|No|12|14|6|3|11|10|5|8|No
118|36|Travel_Frequently|Sales|11|Technical Degree|2|Female|3|3|Sales Executive|4|Married|9738|0|No|14|10|6|3|9|7|2|8|No
119|36|Travel_Rarely|Research & Development|3|Life Sciences|1|Female|3|1|Laboratory Technician|4|Divorced|2835|5|No|22|7|2|3|1|0|0|0|No
120|43|Travel_Frequently|Sales|26|Life Sciences|3|Male|3|4|Manager|4|Married|16959|1|Yes|12|25|3|4|25|12|4|12|No
121|30|Travel_Frequently|Research & Development|23|Life Sciences|1|Male|1|1|Research Scientist|3|Divorced|2613|1|No|25|10|2|2|10|7|0|9|No
122|33|Non-Travel|Sales|22|Marketing|3|Male|3|2|Sales Executive|2|Married|6146|0|No|13|8|2|4|7|7|0|7|No
123|56|Travel_Rarely|Research & Development|14|Life Sciences|2|Female|3|1|Research Scientist|2|Married|4963|9|Yes|18|7|2|3|5|4|4|3|Yes
124|51|Travel_Rarely|Research & Development|6|Life Sciences|1|Male|3|5|Research Director|3|Single|19537|7|No|13|23|5|3|20|18|15|15|No
125|31|Travel_Rarely|Sales|6|Life Sciences|2|Male|1|2|Sales Executive|3|Married|6172|4|Yes|18|12|3|2|7|7|7|7|Yes
126|26|Travel_Rarely|Research & Development|6|Other|3|Female|2|1|Research Scientist|2|Married|2368|1|No|19|5|3|2|5|4|4|3|No
127|58|Travel_Rarely|Research & Development|23|Medical|4|Female|3|3|Healthcare Representative|4|Married|10312|1|No|12|40|3|2|40|10|15|6|Yes
128|19|Travel_Rarely|Sales|22|Marketing|4|Male|3|1|Sales Representative|3|Single|1675|1|Yes|19|0|2|2|0|0|0|0|Yes
129|22|Travel_Rarely|Research & Development|2|Technical Degree|3|Male|3|1|Laboratory Technician|4|Married|2523|0|No|14|3|2|3|2|1|2|1|No
130|49|Travel_Rarely|Research & Development|20|Medical|3|Female|3|2|Manufacturing Director|1|Married|6567|1|No|14|16|2|2|15|11|5|11|No
131|43|Travel_Frequently|Research & Development|28|Medical|2|Female|4|1|Research Scientist|3|Single|4739|4|No|12|18|2|3|3|2|1|2|No
132|50|Travel_Frequently|Sales|12|Marketing|3|Female|3|3|Sales Executive|4|Single|9208|4|No|11|16|3|3|2|2|2|1|No
133|31|Travel_Rarely|Sales|20|Life Sciences|2|Female|1|2|Sales Executive|3|Married|4559|3|Yes|11|4|2|3|2|2|2|2|Yes
134|41|Travel_Rarely|Sales|9|Life Sciences|3|Male|3|3|Sales Executive|3|Divorced|8189|3|Yes|13|12|2|3|9|7|0|7|No
135|26|Travel_Rarely|Human Resources|25|Life Sciences|3|Female|3|1|Human Resources|3|Married|2942|1|No|23|8|3|3|8|7|5|7|No
136|36|Travel_Rarely|Research & Development|6|Medical|2|Male|3|2|Manufacturing Director|2|Divorced|4941|6|No|20|7|0|3|3|2|0|1|No
137|51|Travel_Frequently|Research & Development|8|Life Sciences|1|Male|1|3|Manufacturing Director|4|Single|10650|2|No|15|18|2|3|4|2|0|3|Yes
138|39|Travel_Rarely|Sales|4|Life Sciences|4|Female|2|2|Sales Executive|3|Married|5902|4|No|14|17|1|4|15|11|5|9|No
139|25|Travel_Rarely|Sales|28|Life Sciences|1|Male|2|2|Sales Executive|3|Married|8639|2|No|18|6|3|3|2|2|2|2|No
140|30|Travel_Rarely|Human Resources|9|Human Resources|3|Male|3|2|Human Resources|4|Married|6347|0|Yes|19|12|2|1|11|9|4|7|No
141|32|Travel_Rarely|Research & Development|9|Medical|1|Female|3|1|Laboratory Technician|1|Single|4200|7|No|22|10|2|4|5|4|0|4|Yes
142|45|Travel_Rarely|Research & Development|29|Medical|3|Male|3|1|Research Scientist|4|Single|3452|5|No|13|9|2|2|6|5|0|3|No
143|38|Travel_Rarely|Research & Development|3|Technical Degree|4|Female|3|2|Research Scientist|3|Single|4317|3|Yes|20|19|2|3|3|2|2|2|No
144|30|Travel_Rarely|Research & Development|18|Life Sciences|1|Female|3|1|Research Scientist|3|Single|2632|1|No|14|5|4|2|5|4|0|4|No
145|32|Travel_Frequently|Sales|9|Medical|4|Male|1|2|Sales Executive|4|Divorced|4668|0|No|17|9|2|4|8|7|0|7|No
146|30|Travel_Rarely|Research & Development|5|Technical Degree|4|Female|3|1|Research Scientist|1|Divorced|3204|5|No|14|8|3|3|3|2|2|2|No
147|30|Travel_Rarely|Research & Development|2|Medical|2|Male|2|1|Laboratory Technician|4|Single|2720|0|No|13|6|3|3|5|3|1|2|No
148|41|Travel_Frequently|Research & Development|10|Life Sciences|4|Male|2|4|Manager|1|Divorced|17181|4|No|13|21|2|2|7|6|7|7|No
149|41|Travel_Rarely|Research & Development|9|Life Sciences|3|Male|3|1|Laboratory Technician|1|Married|2238|2|No|21|7|2|3|5|0|1|4|No
150|19|Travel_Rarely|Research & Development|3|Medical|2|Female|3|1|Laboratory Technician|2|Single|1483|1|No|14|1|3|3|1|0|0|0|No
151|40|Travel_Frequently|Research & Development|26|Medical|2|Female|3|2|Research Scientist|2|Divorced|5605|1|No|11|20|2|3|20|7|2|13|No
152|35|Travel_Rarely|Sales|1|Marketing|3|Male|3|3|Sales Executive|2|Married|7295|1|No|13|10|3|3|10|8|0|6|No
153|53|Travel_Rarely|Sales|6|Marketing|2|Male|3|2|Sales Representative|3|Married|2306|2|Yes|20|13|3|1|7|7|4|5|No
154|45|Travel_Rarely|Research & Development|9|Life Sciences|2|Male|3|2|Laboratory Technician|2|Divorced|2348|8|No|18|20|2|1|17|9|0|15|No
155|32|Travel_Frequently|Sales|8|Marketing|2|Female|3|3|Sales Executive|4|Single|8998|1|No|14|9|2|3|9|8|3|7|No
156|29|Non-Travel|Research & Development|1|Technical Degree|4|Male|3|2|Manufacturing Director|3|Married|4319|1|No|13|10|1|3|10|7|0|9|No
157|51|Travel_Rarely|Research & Development|7|Medical|2|Male|2|2|Manufacturing Director|3|Married|6132|2|No|17|10|2|3|1|0|0|0|No
158|58|Travel_Rarely|Research & Development|9|Medical|2|Female|2|1|Research Scientist|2|Married|3346|4|Yes|20|9|3|2|1|0|0|0|No
159|40|Travel_Rarely|Sales|4|Marketing|3|Male|2|3|Sales Executive|4|Married|10855|7|No|11|15|2|2|12|11|2|11|No
160|34|Travel_Frequently|Sales|2|Marketing|3|Female|3|1|Sales Representative|3|Married|2231|6|No|18|6|3|3|4|3|1|2|No
161|22|Travel_Rarely|Research & Development|19|Medical|3|Male|3|1|Research Scientist|4|Married|2323|1|No|24|2|6|3|2|2|2|2|No
162|27|Non-Travel|Research & Development|9|Medical|4|Male|3|1|Research Scientist|2|Divorced|2024|6|No|18|6|1|1|2|2|2|2|No
163|28|Travel_Rarely|Research & Development|21|Medical|3|Male|3|1|Research Scientist|4|Married|2713|1|No|11|5|2|1|5|2|0|2|No
164|57|Travel_Rarely|Research & Development|24|Life Sciences|3|Male|4|3|Healthcare Representative|4|Divorced|9439|3|Yes|16|12|2|1|5|3|1|4|No
165|27|Non-Travel|Research & Development|3|Medical|3|Male|2|1|Research Scientist|3|Divorced|2566|1|Yes|15|1|2|2|1|1|0|1|No
166|50|Travel_Rarely|Research & Development|11|Life Sciences|3|Female|3|5|Manager|2|Single|19926|3|No|15|21|5|3|5|4|4|4|No
167|41|Travel_Rarely|Research & Development|14|Life Sciences|1|Male|3|1|Research Scientist|3|Divorced|2451|4|No|12|13|2|3|9|8|1|8|No
168|30|Travel_Rarely|Sales|5|Life Sciences|2|Female|3|3|Sales Executive|4|Married|9419|2|No|12|12|2|3|10|9|7|4|No
169|38|Travel_Rarely|Sales|1|Life Sciences|1|Female|2|2|Sales Executive|4|Single|8686|4|No|22|12|2|4|8|3|0|7|No
170|32|Travel_Rarely|Research & Development|6|Life Sciences|3|Male|3|1|Research Scientist|3|Single|3038|3|No|20|8|2|3|5|4|1|4|No
171|27|Travel_Rarely|Research & Development|17|Technical Degree|3|Male|3|1|Research Scientist|2|Married|3058|0|Yes|16|6|3|2|5|2|1|1|No
172|19|Travel_Frequently|Sales|1|Technical Degree|3|Female|1|1|Sales Representative|1|Single|2325|0|No|21|1|5|4|0|0|0|0|Yes
173|36|Travel_Frequently|Research & Development|3|Medical|4|Male|3|1|Laboratory Technician|2|Single|2088|4|No|12|13|3|2|8|7|7|2|No
174|30|Non-Travel|Research & Development|9|Medical|3|Male|3|2|Laboratory Technician|1|Divorced|3072|1|No|11|12|4|3|12|9|6|10|No
175|45|Travel_Rarely|Sales|4|Life Sciences|3|Female|3|2|Sales Executive|1|Divorced|5006|4|Yes|11|9|3|4|5|4|0|3|No
176|56|Travel_Rarely|Research & Development|8|Life Sciences|3|Female|3|1|Research Scientist|1|Divorced|4257|4|Yes|18|19|3|3|2|2|2|2|No
177|33|Travel_Rarely|Research & Development|2|Life Sciences|3|Male|3|1|Research Scientist|4|Single|2500|0|No|14|4|2|4|3|1|0|2|No
178|19|Travel_Rarely|Research & Development|2|Life Sciences|2|Male|2|1|Laboratory Technician|4|Single|1102|1|No|22|1|3|2|1|0|1|0|Yes
179|46|Travel_Rarely|Sales|1|Marketing|2|Female|3|3|Sales Executive|1|Divorced|10453|1|No|25|24|2|3|24|13|15|7|No
180|38|Travel_Rarely|Research & Development|9|Life Sciences|3|Female|3|1|Laboratory Technician|4|Single|2288|1|No|12|2|3|3|2|2|2|1|No
181|31|Travel_Rarely|Research & Development|12|Medical|3|Female|3|1|Research Scientist|4|Married|3929|8|Yes|23|7|0|3|4|2|0|2|No
182|34|Travel_Rarely|Research & Development|27|Medical|4|Female|3|1|Research Scientist|2|Single|2311|2|No|15|9|3|3|3|2|1|2|No
