ID|Mosha|Gjinia|Familja|Niveli_edukimit|Statusi_martesor|Te_Ardhurat_vjetore|Lloji_cc|Muajt_me_banken|Muajt_joaktiv_gjatevitit|sa_here_ka_kontaktuar_banken|CC_limiti|CC_shuma_perdorur|CC_shuma_paperdorur|Transaksioni_Fundit|Numri_transaksioneve|Indikatori_Largim
720756708|52|F|3|Unknown|Married|Less than $40K|Blue|41|3|2|2622|1549|1073|1878|30|Ekzistues
779471883|54|F|1|Graduate|Married|Less than $40K|Blue|40|3|1|1438.3|808|630.3|705|19|Larguar
711525033|66|F|0|High School|Married|Less than $40K|Blue|54|4|2|3171|2179|992|1946|38|Ekzistues
712813458|49|M|2|Unknown|Married|$120K +|Blue|36|2|0|19763|2517|17246|1414|35|Ekzistues
714374133|56|M|2|Graduate|Married|$120K +|Blue|36|3|3|15769|0|15769|602|15|Larguar
717891558|49|F|4|Graduate|Unknown|Less than $40K|Blue|36|4|2|3298|2200|1098|1052|32|Ekzistues
716632758|49|F|3|Graduate|Single|Less than $40K|Blue|36|2|0|2802|2363|439|1295|40|Ekzistues
768563658|56|M|2|Uneducated|Married|$40K - $60K|Blue|50|2|3|4458|1880|2578|1424|29|Ekzistues
711427458|44|F|5|Graduate|Married|Unknown|Blue|35|1|2|6273|978|5295|1359|25|Ekzistues
714091983|42|M|2|High School|Single|$60K - $80K|Blue|34|4|3|3336|1753|1583|1168|27|Ekzistues
787584108|55|M|3|Unknown|Married|$80K - $120K|Blue|47|2|3|3436|2016|1420|1097|33|Ekzistues
712030833|48|M|2|Graduate|Married|$60K - $80K|Silver|35|4|4|34516|0|34516|691|15|Larguar
711481533|39|M|1|High School|Divorced|$60K - $80K|Blue|33|3|3|5926|1251|4675|1316|28|Ekzistues
710082708|44|M|4|Post-Graduate|Single|$120K +|Blue|32|4|2|23957|2102|21855|1276|26|Ekzistues
708155733|53|M|2|High School|Single|$120K +|Blue|44|2|2|14734|1634|13100|1289|23|Ekzistues
788979258|51|M|4|Uneducated|Single|$80K - $120K|Silver|38|1|4|34516|1515|33001|1293|32|Ekzistues
807986133|57|M|2|College|Married|$60K - $80K|Blue|52|3|3|6584|1817|4767|1353|35|Ekzistues
788730933|44|F|2|Uneducated|Single|Less than $40K|Blue|20|3|3|2084|1468|616|1132|28|Ekzistues
711314058|49|M|2|Graduate|Married|$60K - $80K|Blue|32|2|2|1687|1107|580|1670|17|Ekzistues
717975333|50|M|2|Doctorate|Married|$80K - $120K|Blue|38|2|2|25300|1330|23970|837|15|Ekzistues
715971108|51|M|4|Graduate|Single|$120K +|Blue|42|2|3|34516|1763|32753|1550|41|Ekzistues
720096558|55|F|2|Graduate|Married|Less than $40K|Blue|42|3|3|2216|1034|1182|1540|36|Ekzistues
719580033|54|M|1|Graduate|Unknown|$60K - $80K|Blue|43|2|3|2910|2030|880|1256|21|Ekzistues
820582308|42|M|5|Uneducated|Married|$80K - $120K|Blue|37|2|2|22913|1528|21385|1394|35|Ekzistues
789973308|44|M|1|College|Single|$60K - $80K|Blue|35|3|3|24312|1932|22380|1341|24|Ekzistues
712876233|53|M|2|Graduate|Single|$80K - $120K|Blue|36|3|2|5272|1515|3757|1289|33|Ekzistues
804595158|44|F|4|Graduate|Single|Less than $40K|Blue|36|4|2|7000|2517|4483|1112|23|Ekzistues
714826758|37|F|3|Uneducated|Single|Less than $40K|Blue|29|4|2|7038|1801|5237|2339|57|Ekzistues
779058108|49|M|3|Graduate|Divorced|$60K - $80K|Blue|30|1|2|2536|1823|713|1468|23|Ekzistues
710790258|47|M|2|Graduate|Married|$80K - $120K|Blue|38|3|2|28904|1899|27005|1334|35|Ekzistues
715623483|47|M|3|Graduate|Married|$60K - $80K|Blue|37|4|0|8567|1695|6872|1457|41|Ekzistues
715156383|44|M|1|Unknown|Unknown|$120K +|Blue|36|2|2|34516|1533|32983|1603|29|Ekzistues
711013983|55|F|4|Unknown|Married|$40K - $60K|Blue|45|4|3|2158|0|2158|615|12|Larguar
755420433|59|F|1|Graduate|Married|Unknown|Blue|52|3|3|10133|1417|8716|1068|20|Ekzistues
794543958|53|M|1|Graduate|Divorced|$80K - $120K|Blue|35|4|2|34516|1219|33297|1590|27|Ekzistues
716396358|52|M|2|Graduate|Married|$60K - $80K|Blue|47|3|0|3085|1910|1175|1531|35|Ekzistues
715398033|53|M|2|High School|Single|$120K +|Blue|35|2|1|19040|2056|16984|1212|31|Ekzistues
711743883|43|F|3|Uneducated|Single|Less than $40K|Blue|35|2|3|4026|0|4026|1237|32|Ekzistues
719720058|44|M|3|High School|Single|$60K - $80K|Blue|31|3|1|12756|837|11919|1413|14|Ekzistues
778992108|57|M|2|Unknown|Married|$120K +|Blue|45|3|3|5266|0|5266|1516|29|Ekzistues
717539808|51|F|2|High School|Single|Less than $40K|Blue|36|2|2|9930|0|9930|1276|21|Ekzistues
714070758|49|M|4|High School|Single|$80K - $120K|Blue|38|3|0|31302|1953|29349|1564|35|Ekzistues
714107958|45|M|1|Graduate|Single|$40K - $60K|Blue|36|4|3|6576|0|6576|1465|34|Ekzistues
789140283|53|M|0|Graduate|Single|$80K - $120K|Blue|42|4|1|2664|2037|627|1286|29|Ekzistues
715550508|45|F|3|Unknown|Married|Unknown|Blue|28|1|2|2535|2440|95|1312|20|Ekzistues
719712633|64|M|1|Graduate|Married|Less than $40K|Blue|52|4|3|1709|895|814|1673|32|Ekzistues
772629333|45|M|3|Graduate|Married|$40K - $60K|Blue|35|4|2|3454|1200|2254|1313|30|Ekzistues
720336708|53|M|3|Doctorate|Married|$40K - $60K|Blue|35|3|2|3789|1706|2083|1609|42|Ekzistues
802013583|56|M|3|College|Married|$120K +|Blue|50|2|0|9689|2250|7439|1158|19|Ekzistues
711887583|47|M|2|Unknown|Married|$80K - $120K|Blue|37|3|3|5449|1628|3821|836|18|Larguar
714778833|49|F|3|College|Single|Unknown|Blue|43|4|0|23032|1960|21072|1289|22|Ekzistues
713843283|41|F|3|Unknown|Married|Unknown|Silver|34|3|3|34516|2053|32463|1487|26|Ekzistues
779155158|53|M|3|Graduate|Married|$120K +|Blue|34|2|2|2940|1264|1676|1259|33|Ekzistues
721091583|44|F|2|Graduate|Single|Less than $40K|Blue|32|3|3|3031|1879|1152|1298|15|Ekzistues
713572683|44|M|3|High School|Unknown|$60K - $80K|Blue|25|3|0|1862|0|1862|1226|34|Ekzistues
716657058|43|F|4|Post-Graduate|Married|Less than $40K|Blue|33|3|3|8358|926|7432|1566|37|Ekzistues
779509983|53|M|2|Post-Graduate|Single|$120K +|Blue|36|1|2|34516|931|33585|1022|21|Ekzistues
717929133|44|M|1|Uneducated|Married|$60K - $80K|Blue|36|2|3|14450|2440|12010|1235|30|Ekzistues
808284783|62|F|1|Unknown|Married|Less than $40K|Blue|56|0|0|1438.3|0|1438.3|1951|44|Ekzistues
708476808|54|M|4|Unknown|Divorced|$120K +|Blue|36|3|2|33791|1960|31831|1047|31|Ekzistues
710916408|57|M|4|Graduate|Married|$60K - $80K|Blue|39|3|0|8466|1886|6580|1342|32|Ekzistues
708492558|42|M|3|Unknown|Married|$60K - $80K|Blue|36|3|3|15088|865|14223|1107|21|Ekzistues
799825758|42|M|4|High School|Divorced|$60K - $80K|Blue|36|1|2|3263|1674|1589|1251|35|Ekzistues
718619883|54|F|0|Uneducated|Married|Less than $40K|Blue|36|2|2|1494|706|788|1305|24|Ekzistues
711844758|48|M|3|Graduate|Single|$80K - $120K|Blue|35|1|0|13551|1294|12257|1388|37|Ekzistues
714798783|49|M|1|Graduate|Single|$80K - $120K|Blue|36|2|2|18886|895|17991|1235|18|Ekzistues
826762908|52|M|3|High School|Unknown|$80K - $120K|Blue|48|2|0|11976|1273|10703|2089|36|Ekzistues
771894558|50|M|3|High School|Single|$80K - $120K|Blue|39|1|4|9964|1559|8405|1626|25|Ekzistues
721074183|49|M|1|Doctorate|Married|$60K - $80K|Blue|36|6|3|24159|1196|22963|1111|24|Ekzistues
715259583|53|F|2|High School|Married|Less than $40K|Blue|44|2|3|5362|1901|3461|1553|38|Ekzistues
718414008|50|M|2|Graduate|Single|$120K +|Blue|36|2|2|34516|1023|33493|1064|13|Ekzistues
719666283|55|F|1|Doctorate|Married|Less than $40K|Blue|36|1|0|3174|1951|1223|1243|29|Ekzistues
714877233|53|M|1|High School|Married|$80K - $120K|Blue|47|2|2|12262|1836|10426|1659|38|Ekzistues
785387883|47|F|3|High School|Single|$40K - $60K|Blue|41|3|3|3788|1540|2248|1594|47|Ekzistues
771075258|55|M|2|College|Single|$120K +|Silver|42|3|2|34516|1527|32989|1268|42|Ekzistues
711318033|47|M|3|Graduate|Single|$60K - $80K|Blue|36|2|2|2926|0|2926|1304|24|Ekzistues
783554958|58|M|4|Graduate|Single|$120K +|Blue|52|1|0|32090|0|32090|1368|30|Ekzistues
720201033|53|M|2|Graduate|Married|$80K - $120K|Blue|41|3|2|11669|2227|9442|720|23|Larguar
718039683|52|M|2|High School|Single|$40K - $60K|Blue|45|1|2|13532|1300|12232|1521|29|Ekzistues
710806083|50|F|1|Uneducated|Unknown|Less than $40K|Silver|36|2|2|11888|2090|9798|1137|30|Ekzistues
714752208|42|F|1|Graduate|Married|Less than $40K|Blue|36|1|2|2393|1985|408|978|16|Ekzistues
822063408|43|M|4|Unknown|Married|$40K - $60K|Blue|39|1|2|6111|2517|3594|1221|16|Ekzistues
714490308|57|M|4|Graduate|Married|$80K - $120K|Blue|46|2|3|19270|1662|17608|1565|28|Ekzistues
713356833|52|M|1|Graduate|Married|$80K - $120K|Blue|43|1|4|3710|2517|1193|1578|34|Ekzistues
711402333|47|M|2|Doctorate|Single|Less than $40K|Blue|37|1|3|3235|797|2438|1493|32|Ekzistues
708296883|44|F|3|Graduate|Single|$40K - $60K|Blue|38|1|0|11749|788|10961|1178|27|Ekzistues
719154483|53|M|2|High School|Divorced|$60K - $80K|Blue|36|3|2|7753|2100|5653|991|26|Ekzistues
717721458|45|M|4|College|Divorced|$60K - $80K|Blue|40|1|0|10408|1186|9222|2560|42|Ekzistues
711112683|63|F|1|College|Married|Unknown|Blue|36|2|3|3967|1568|2399|1657|29|Ekzistues
715674483|39|F|2|Post-Graduate|Single|Less than $40K|Blue|27|2|2|6205|2517|3688|1204|19|Ekzistues
789322833|48|F|5|High School|Married|Less than $40K|Blue|38|3|3|8025|0|8025|673|18|Larguar
789968058|51|M|1|Unknown|Single|$120K +|Blue|42|2|3|9036|2327|6709|1131|18|Ekzistues
709919283|54|M|4|Graduate|Married|$80K - $120K|Blue|34|3|2|14926|2517|12409|1576|25|Ekzistues
718744008|59|F|1|Graduate|Single|Less than $40K|Blue|36|2|3|6335|1128|5207|1217|20|Ekzistues
767712558|59|M|1|College|Single|$60K - $80K|Blue|53|3|3|14979|0|14979|530|10|Larguar
712950783|48|F|4|Uneducated|Married|Less than $40K|Blue|38|2|3|2732|0|2732|739|16|Larguar
716104983|41|F|2|Graduate|Single|Less than $40K|Blue|32|3|2|2250|2117|133|1617|31|Ekzistues
818839983|55|M|2|Graduate|Married|$120K +|Blue|50|2|0|10916|1536|9380|1592|34|Ekzistues
772288758|47|F|4|Graduate|Married|Unknown|Blue|36|1|3|5349|1228|4121|1343|30|Ekzistues
712350858|41|M|2|High School|Married|$80K - $120K|Blue|24|1|3|9366|1104|8262|1303|39|Ekzistues
711009708|40|M|3|High School|Single|$80K - $120K|Blue|28|1|0|21617|0|21617|1351|22|Ekzistues
712720158|68|M|1|Graduate|Married|Unknown|Blue|56|2|3|13860|1652|12208|1910|32|Ekzistues
712215258|50|F|1|Graduate|Single|$40K - $60K|Silver|31|2|3|18386|0|18386|1298|22|Ekzistues
773827008|47|M|4|Uneducated|Single|$60K - $80K|Blue|41|2|2|2405|1540|865|1087|29|Ekzistues
795232683|53|F|1|College|Married|Less than $40K|Blue|47|2|3|2154|930|1224|1439|26|Ekzistues
713786508|42|F|5|Unknown|Married|$40K - $60K|Blue|36|3|3|2038|0|2038|1238|28|Ekzistues
713539833|48|F|4|High School|Single|$40K - $60K|Blue|38|1|3|8135|0|8135|1716|29|Ekzistues
712454058|49|M|1|Doctorate|Married|$120K +|Blue|38|1|3|9364|618|8746|1099|27|Ekzistues
718759833|44|F|2|Uneducated|Married|Unknown|Silver|35|3|2|32643|0|32643|1058|24|Ekzistues
718803333|43|F|4|Graduate|Divorced|Less than $40K|Blue|34|3|1|3195|1954|1241|1285|29|Ekzistues
720253908|56|M|0|High School|Married|$80K - $120K|Blue|43|2|1|2852|1024|1828|1651|28|Ekzistues
714133158|59|F|1|College|Single|Unknown|Blue|36|3|3|4224|1305|2919|1152|31|Ekzistues
713187033|46|M|1|Uneducated|Married|$60K - $80K|Blue|36|2|2|20459|2071|18388|1767|38|Ekzistues
714791208|47|F|4|Unknown|Divorced|Less than $40K|Blue|41|5|3|3482|2114|1368|1039|24|Ekzistues
772426383|50|F|4|Uneducated|Married|$40K - $60K|Blue|40|2|3|3065|1570|1495|1130|28|Ekzistues
710975883|51|F|3|Uneducated|Married|Less than $40K|Blue|43|1|2|2185|1761|424|1645|30|Ekzistues
714264408|47|F|3|Uneducated|Married|Less than $40K|Blue|36|1|0|1611|746|865|1413|29|Ekzistues
715827858|58|F|4|Uneducated|Married|Less than $40K|Blue|47|3|3|2822|2173|649|1218|23|Ekzistues
713741358|46|M|5|Graduate|Single|$80K - $120K|Blue|33|3|3|32975|2517|30458|597|17|Larguar
709531908|53|M|3|High School|Married|$60K - $80K|Blue|47|2|2|1438.3|0|1438.3|2184|53|Ekzistues
716493408|45|F|4|Uneducated|Divorced|Unknown|Blue|36|3|3|15875|1719|14156|1592|37|Ekzistues
714141108|52|F|1|High School|Married|Less than $40K|Blue|45|3|3|6703|893|5810|1388|28|Ekzistues
708953883|53|M|2|Unknown|Married|$80K - $120K|Blue|36|2|1|3212|0|3212|757|20|Larguar
712608783|50|M|2|High School|Married|$80K - $120K|Silver|45|1|3|34516|1260|33256|1504|34|Ekzistues
820353558|41|F|3|High School|Married|$40K - $60K|Blue|36|1|2|9797|1434|8363|1503|34|Ekzistues
714964758|45|F|5|Graduate|Divorced|$40K - $60K|Blue|36|2|2|10400|1777|8623|1105|28|Ekzistues
716264358|53|M|3|Uneducated|Married|$80K - $120K|Blue|42|1|2|26792|1836|24956|2398|47|Ekzistues
717296808|67|F|1|Graduate|Married|Less than $40K|Blue|56|3|2|3006|2517|489|1661|32|Ekzistues
712977183|57|F|2|Uneducated|Single|$40K - $60K|Silver|36|3|0|19482|1072|18410|1421|22|Ekzistues
710829108|59|F|1|Uneducated|Married|$40K - $60K|Blue|36|2|3|3356|985|2371|999|28|Ekzistues
779562633|45|M|2|Uneducated|Married|$40K - $60K|Blue|34|2|1|5771|2248|3523|1387|18|Ekzistues
715315833|51|M|3|Graduate|Married|$80K - $120K|Blue|36|2|3|11106|2107|8999|1243|24|Ekzistues
815500983|59|F|1|Uneducated|Married|Less than $40K|Blue|54|3|0|2890|2001|889|1860|36|Ekzistues
719360583|53|M|1|Graduate|Married|$60K - $80K|Blue|45|2|2|3380|1701|1679|1502|25|Ekzistues
709701558|47|M|3|Graduate|Married|$60K - $80K|Blue|36|1|2|21331|1251|20080|1460|50|Ekzistues
721148358|49|F|3|Uneducated|Single|Unknown|Blue|38|2|1|12860|0|12860|1348|27|Ekzistues
779862408|49|M|3|Post-Graduate|Single|$80K - $120K|Blue|33|1|0|6278|462|5816|1087|33|Ekzistues
812627208|60|F|0|College|Single|Less than $40K|Blue|55|1|3|1438.3|738|700.3|1226|33|Ekzistues
711033408|50|F|2|High School|Married|Less than $40K|Blue|36|1|2|9355|1626|7729|1230|28|Ekzistues
779956608|41|F|2|Post-Graduate|Married|Unknown|Blue|31|1|3|20758|0|20758|1555|32|Ekzistues
780376683|57|M|1|Graduate|Married|$80K - $120K|Blue|47|3|1|14612|1976|12636|1827|24|Ekzistues
717912483|43|M|4|Graduate|Unknown|$80K - $120K|Blue|27|2|0|27259|0|27259|1376|35|Ekzistues
714454758|57|F|3|Graduate|Married|Less than $40K|Blue|47|2|3|6347|1594|4753|1771|37|Ekzistues
780466533|54|M|3|Doctorate|Married|$120K +|Blue|41|3|0|21592|1676|19916|1873|52|Ekzistues
715735233|51|F|5|Post-Graduate|Married|Less than $40K|Blue|44|1|1|3449|1598|1851|1679|42|Ekzistues
720476733|47|F|3|High School|Married|Less than $40K|Blue|34|1|2|6028|799|5229|1002|22|Ekzistues
715872333|41|M|0|High School|Unknown|$120K +|Blue|36|2|3|18214|1998|16216|1344|21|Ekzistues
712375758|53|M|3|Uneducated|Married|$80K - $120K|Blue|43|3|1|16393|1423|14970|1461|42|Ekzistues
708868233|68|M|0|High School|Married|Less than $40K|Blue|52|3|2|1438.3|900|538.3|760|21|Larguar
718030083|59|M|1|College|Married|$60K - $80K|Blue|36|1|2|7871|1687|6184|1428|22|Ekzistues
720707283|48|M|4|Unknown|Married|$80K - $120K|Blue|36|3|0|5288|866|4422|1777|42|Ekzistues
771698658|44|M|5|Graduate|Married|$60K - $80K|Blue|32|5|3|11376|2006|9370|1302|27|Ekzistues
748326258|48|M|3|College|Married|$80K - $120K|Blue|41|5|3|12302|1632|10670|1483|41|Ekzistues
770817783|47|M|4|Graduate|Married|$60K - $80K|Silver|33|2|1|34516|1679|32837|1060|27|Ekzistues
779353083|47|M|2|Graduate|Married|$60K - $80K|Silver|32|2|2|34516|1468|33048|1330|32|Ekzistues
711441333|43|F|1|High School|Divorced|Less than $40K|Silver|35|2|2|10514|1580|8934|1229|27|Ekzistues
719808558|55|F|2|Graduate|Married|Less than $40K|Blue|43|4|3|1438.3|0|1438.3|886|27|Larguar
711551958|59|M|2|Post-Graduate|Married|$60K - $80K|Blue|46|3|3|1438.3|0|1438.3|844|24|Larguar
809164083|63|M|1|Graduate|Married|$40K - $60K|Blue|56|1|2|2619|1779|840|1450|37|Ekzistues
820596183|58|M|2|College|Married|$120K +|Blue|53|3|0|24407|2395|22012|2311|48|Ekzistues
715999608|53|F|2|High School|Married|Less than $40K|Blue|36|1|2|2377|1649|728|1378|26|Ekzistues
710565408|59|M|0|Unknown|Unknown|$80K - $120K|Silver|40|2|3|34516|1359|33157|1033|26|Ekzistues
805543158|52|M|3|Graduate|Married|$120K +|Blue|47|3|3|11086|2207|8879|1523|40|Ekzistues
709752183|48|M|3|High School|Single|$60K - $80K|Blue|36|2|2|11432|2517|8915|1374|37|Ekzistues
716479233|43|M|4|High School|Married|$40K - $60K|Blue|36|3|2|13258|1721|11537|1080|21|Ekzistues
713837058|48|M|2|College|Single|Less than $40K|Blue|36|2|3|2571|1955|616|1234|24|Ekzistues
718876683|43|F|4|Graduate|Single|Less than $40K|Blue|31|2|0|5781|1168|4613|1600|32|Ekzistues
770746908|44|M|4|Unknown|Married|$60K - $80K|Blue|30|1|2|7872|2509|5363|1155|32|Ekzistues
794843883|41|M|3|High School|Married|$80K - $120K|Blue|35|1|2|34516|1202|33314|1353|33|Ekzistues
803043933|44|F|3|Uneducated|Divorced|Less than $40K|Silver|38|1|3|11127|1835|9292|1546|25|Ekzistues
758076408|50|M|2|Unknown|Single|$40K - $60K|Blue|43|1|3|1857|1603|254|1590|43|Ekzistues
714606558|60|F|1|Uneducated|Married|Less than $40K|Blue|36|1|0|1913|1272|641|1448|22|Ekzistues
778425408|44|M|4|Graduate|Single|$80K - $120K|Blue|24|3|0|3839|2295|1544|1271|24|Ekzistues
714171108|48|F|3|Graduate|Divorced|$40K - $60K|Blue|39|2|3|2115|1141|974|1223|20|Ekzistues
719662458|44|F|2|Graduate|Divorced|Less than $40K|Blue|27|2|2|1438.3|679|759.3|1117|29|Ekzistues
713137233|41|M|2|High School|Single|$80K - $120K|Blue|28|3|0|27756|1789|25967|994|24|Ekzistues
769425858|45|M|3|College|Single|$60K - $80K|Blue|32|1|2|1438.3|0|1438.3|1468|26|Ekzistues
711297483|47|F|2|Uneducated|Divorced|Less than $40K|Silver|34|4|2|13878|2222|11656|1658|38|Ekzistues
788900883|51|F|2|Graduate|Married|Less than $40K|Blue|36|1|3|3106|1304|1802|1368|38|Ekzistues
758348808|51|M|2|Graduate|Married|$120K +|Blue|44|3|3|34516|1666|32850|1218|18|Ekzistues
772336458|60|F|1|Uneducated|Married|$40K - $60K|Blue|50|4|3|1438.3|1025|413.3|702|12|Larguar
708711483|57|M|2|Unknown|Married|$80K - $120K|Blue|46|3|0|18871|1740|17131|1516|21|Ekzistues
717906783|41|M|5|Graduate|Single|$120K +|Blue|29|2|2|5207|1748|3459|1310|26|Ekzistues
719437908|44|M|3|Post-Graduate|Divorced|$80K - $120K|Blue|36|2|2|17965|1644|16321|1767|50|Ekzistues
769433508|43|M|1|College|Single|$60K - $80K|Blue|37|3|3|2733|1819|914|933|25|Ekzistues
790096533|55|M|2|College|Married|$60K - $80K|Blue|48|3|2|8863|1301|7562|1512|27|Ekzistues
720997383|52|M|1|Uneducated|Married|$80K - $120K|Blue|36|3|3|1857|1833|24|829|17|Larguar
787541883|44|M|3|Graduate|Unknown|$80K - $120K|Blue|33|3|3|34516|0|34516|1120|27|Ekzistues
709930758|41|M|2|Uneducated|Married|$40K - $60K|Blue|30|3|3|11107|1222|9885|1506|33|Ekzistues
789830058|44|M|4|Unknown|Single|$80K - $120K|Blue|34|1|2|21573|1585|19988|1384|36|Ekzistues
710299608|53|F|2|Unknown|Married|Less than $40K|Blue|33|3|3|2859|2517|342|817|30|Larguar
710741208|39|M|2|High School|Single|$80K - $120K|Blue|36|2|2|5269|1475|3794|2094|25|Ekzistues
821797008|49|M|5|College|Married|$40K - $60K|Blue|45|2|3|1438.3|0|1438.3|815|21|Larguar
708874533|45|F|2|College|Married|Less than $40K|Blue|36|3|2|3387|0|3387|510|24|Larguar
715341858|54|M|2|Graduate|Married|$80K - $120K|Blue|46|2|3|1982|1289|693|1377|49|Ekzistues
